Time;     A1;     A2;     A3
0,10336316;9,97;-0,34;0,23
0,103671706;9,97;-0,37;0,2
0,103980253;10;-0,37;0,23
0,1042888;9,94;-0,37;0,23
0,104597346;9,94;-0,34;0,23
0,104905893;10;-0,4;0,26
0,10521444;10;-0,4;0,29
0,105522987;10,03;-0,4;0,32
0,105831533;9,97;-0,4;0,32
0,10614008;9,94;-0,37;0,34
0,106448627;10,06;-0,4;0,32
0,106757174;10,03;-0,37;0,32
0,10706572;9,92;-0,4;0,34
0,107374267;9,97;-0,37;0,29
0,107682814;9,97;-0,37;0,26
0,107991361;9,97;-0,37;0,2
0,108299907;10,03;-0,4;0,2
0,108608454;9,97;-0,37;0,26
0,108917001;9,94;-0,34;0,23
0,109225548;10;-0,37;0,23
0,109534094;10;-0,34;0,23
0,109842641;9,97;-0,37;0,29
0,110151188;10;-0,37;0,34
0,110459735;10,03;-0,4;0,34
0,110768281;9,97;-0,37;0,34
0,111076828;10;-0,4;0,34
0,111385375;10;-0,4;0,34
0,111693922;9,97;-0,37;0,32
0,112002468;9,97;-0,4;0,26
0,112311015;9,97;-0,37;0,23
0,112619562;9,97;-0,37;0,23
0,112928109;9,97;-0,34;0,17
0,113236655;9,94;-0,34;0,2
0,113545202;9,97;-0,37;0,26
0,113853749;9,97;-0,34;0,23
0,114162296;9,97;-0,34;0,23
0,114470842;9,97;-0,37;0,26
0,114779389;10,03;-0,37;0,29
0,115087936;10,06;-0,34;0,34
0,115396483;10,03;-0,4;0,32
0,115705029;10;-0,4;0,34
0,116013576;9,97;-0,37;0,32
0,116322123;10;-0,4;0,29
0,11663067;10,03;-0,37;0,32
0,116939216;9,97;-0,37;0,29
0,117247763;9,94;-0,37;0,23
0,11755631;9,97;-0,34;0,2
0,117864857;9,97;-0,37;0,23
0,118173403;9,97;-0,34;0,23
0,11848195;10;-0,34;0,26
0,118790497;10;-0,34;0,23
0,119099044;9,97;-0,37;0,26
0,11940759;10;-0,37;0,32
0,119716137;10,03;-0,34;0,34
0,120024684;10;-0,37;0,32
0,12033323;9,97;-0,37;0,32
0,120641777;10;-0,37;0,34
0,120950324;9,97;-0,37;0,32
0,121258871;9,97;-0,37;0,32
0,121567417;9,97;-0,37;0,29
0,121875964;10;-0,37;0,26
0,122184511;9,97;-0,37;0,2
0,122493058;9,97;-0,37;0,23
0,122801604;9,97;-0,34;0,2
0,123110151;9,97;-0,34;0,23
0,123418698;10,03;-0,37;0,29
0,123727245;10;-0,37;0,26
0,124035791;9,94;-0,37;0,29
0,124344338;10;-0,37;0,32
0,124652885;10,03;-0,37;0,32
0,124961432;10;-0,4;0,32
