,Time,A1,A2,A3
17241,5.319654428,10.12,17.99,-2.21
17242,5.319962974,7.16,16.99,1.61
17243,5.320271521,8.13,21.87,1.01
17244,5.320580068,10.26,18.45,0.43
17245,5.320888615,11.32,12.36,4.02
17246,5.321197161,14.28,10.26,5.35
17247,5.321505708,15.03,1.72,3.25
17248,5.321814255,12.88,-6.75,2.67
17249,5.322122802,10.61,-11.47,3.1
17250,5.322431348,10.03,-14.37,1.7
17251,5.322739895,9.63,-13.36,0.49
17252,5.323048442,8.56,-12.85,0.03
17253,5.323356989,9.25,-9.25,-0.86
17254,5.323665535,9.97,-4.66,-0.4
17255,5.323974082,9.51,-2.39,-0.86
17256,5.324282629,10.58,0.92,-2.04
17257,5.324591176,10.38,2.53,-0.46
17258,5.324899722,9.69,5.66,-0.14
17259,5.325208269,12.44,2.96,0.34
17260,5.325516816,12.07,-4.4,3.99
17261,5.325825363,7.41,-7.21,3.54
17262,5.326133909,7.96,-10.43,0.32
17263,5.326442456,12.96,0.32,1.47
17264,5.326751003,10.78,-0.43,3.33
17265,5.32705955,5.46,-24.77,-0.11
17266,5.327368096,8.28,-15.35,-4.11
17267,5.327676643,10.52,0.52,-2.87
17268,5.32798519,9.97,-5.95,-1.95
17269,5.328293737,10.32,5.86,-4.08
17270,5.328602283,6.27,14.86,-5.35
17271,5.32891083,7.07,12.9,-4.2
17272,5.329219377,10.32,18.85,0.2
17273,5.329527923,7.24,18.71,1.98
17274,5.32983647,8.71,17.65,-0.03
17275,5.330145017,11.29,14.97,2.18
17276,5.330453564,11.96,8.08,5.4
17277,5.33076211,15.32,5.12,4.66
17278,5.331070657,14.05,-3.94,3.13
17279,5.331379204,10.95,-11.29,2.53
17280,5.331687751,10.29,-11.09,2.7
17281,5.331996297,9.71,-13.57,1.49
17282,5.332304844,9.2,-12.47,-0.52
17283,5.332613391,8.77,-8.94,-0.83
17284,5.332921938,10.0,-6.18,-0.72
17285,5.333230484,9.83,-2.44,-0.86
17286,5.333539031,9.86,-0.57,-1.9
17287,5.333847578,10.66,2.39,-1.7
17288,5.334156125,9.28,3.51,-0.06
17289,5.334464671,12.53,4.63,-0.23
17290,5.334773218,12.21,2.82,1.9
17291,5.335081765,6.55,-10.06,4.57
17292,5.335390312,10.23,-8.1,1.75
17293,5.335698858,12.76,5.29,0.63
17294,5.336007405,8.51,-7.41,3.39
17295,5.336315952,8.08,-22.3,2.1
17296,5.336624499,8.05,-14.6,-2.41
17297,5.336933045,8.19,-9.66,-3.59
17298,5.337241592,11.44,-7.7,-2.27
17299,5.337550139,11.04,2.62,-3.13
17300,5.337858686,7.19,11.84,-5.23
17301,5.338167232,6.41,16.12,-5.26
17302,5.338475779,8.51,17.73,-2.01
17303,5.338784326,8.77,20.41,1.49
17304,5.339092873,7.82,20.32,0.98
17305,5.339401419,10.2,16.47,0.6
17306,5.339709966,12.53,14.0,4.31
17307,5.340018513,13.62,6.32,5.66
17308,5.34032706,15.49,-1.58,3.36
17309,5.340635606,12.47,-6.81,2.87
17310,5.340944153,9.8,-13.97,2.99
17311,5.3412527,10.81,-13.82,1.9
17312,5.341561247,9.17,-12.93,0.75
17313,5.341869793,8.48,-12.82,-0.78
17314,5.34217834,9.71,-6.29,-0.89
17315,5.342486887,10.15,-3.71,-0.11
17316,5.342795434,9.66,-1.81,-1.38
17317,5.34310398,10.17,2.39,-2.07
17318,5.343412527,10.72,2.99,-0.4
17319,5.343721074,9.08,3.88,0.0
17320,5.34402962,12.76,3.33,0.29
17321,5.344338167,13.39,-2.62,3.54
17322,5.344646714,5.78,-11.73,3.91
17323,5.344955261,8.05,-9.51,0.43
17324,5.345263807,12.93,-0.26,1.7
17325,5.345572354,8.94,-9.77,4.11
17326,5.345880901,7.44,-19.03,-0.29
17327,5.346189448,9.05,-11.21,-4.28
17328,5.346497994,9.89,-6.47,-2.76
17329,5.346806541,11.15,0.52,-2.21
17330,5.347115088,8.71,10.89,-4.6
17331,5.347423635,5.32,13.16,-6.01
17332,5.347732181,8.54,16.38,-3.76
17333,5.348040728,9.94,19.08,0.55
17334,5.348349275,7.04,17.88,1.44
17335,5.348657822,9.14,17.68,0.17
17336,5.348966368,11.12,13.74,2.56
17337,5.349274915,12.65,7.47,5.58
17338,5.349583462,15.81,1.87,4.91
17339,5.349892009,13.16,-5.98,2.99
17340,5.350200555,10.35,-11.81,2.59
17341,5.350509102,10.58,-13.34,2.93
17342,5.350817649,9.71,-12.79,1.44
17343,5.351126196,9.2,-11.47,-0.8
17344,5.351434742,9.23,-8.42,-1.03
17345,5.351743289,10.2,-3.33,-0.52
17346,5.352051836,9.77,-1.93,-0.95
17347,5.352360383,9.66,0.06,-2.27
17348,5.352668929,10.75,3.79,-1.7
17349,5.352977476,9.48,2.01,0.14
17350,5.353286023,11.87,4.34,-0.4
17351,5.35359457,11.58,2.33,1.52
17352,5.353903116,7.16,-10.63,4.77
17353,5.354211663,10.89,-6.61,2.01
17354,5.35452021,11.73,1.58,0.89
17355,5.354828757,9.14,-10.98,3.99
17356,5.355137303,10.03,-22.39,2.04
17357,5.35544585,6.24,-17.82,-2.62
17358,5.355754397,8.16,-5.32,-3.42
17359,5.356062944,12.93,-1.18,-2.47
17360,5.35637149,8.62,0.89,-3.71
17361,5.356680037,7.7,15.92,-5.81
17362,5.356988584,7.85,18.71,-5.12
17363,5.357297131,6.73,15.12,-1.64
17364,5.357605677,8.97,24.14,1.35
17365,5.357914224,8.31,19.03,1.01
17366,5.358222771,10.09,12.96,1.03
17367,5.358531317,13.34,15.66,4.57
17368,5.358839864,14.2,3.33,5.63
17369,5.359148411,15.15,-4.86,3.48
17370,5.359456958,11.32,-8.05,2.85
17371,5.359765504,9.89,-15.55,2.79
17372,5.360074051,10.84,-13.48,2.33
17373,5.360382598,8.88,-12.9,0.66
17374,5.360691145,9.37,-11.35,-1.24
17375,5.360999691,9.63,-4.34,-0.52
17376,5.361308238,10.38,-2.44,-0.23
17377,5.361616785,9.8,-0.14,-1.67
17378,5.361925332,9.6,2.56,-1.98
17379,5.362233878,11.27,4.02,-0.6
17380,5.362542425,8.45,2.53,0.06
17381,5.362850972,12.93,2.96,-0.03
17382,5.363159519,14.17,-0.52,3.13
17383,5.363468065,4.2,-16.64,4.22
17384,5.363776612,8.97,-8.51,0.72
17385,5.364085159,14.03,0.26,2.18
17386,5.364393706,6.41,-22.45,4.37
17387,5.364702252,7.64,-16.32,-0.34
17388,5.365010799,11.78,-0.98,-4.11
17389,5.365319346,9.31,-10.29,-2.85
